"","datetime","date","ra1","ra2","raw","ra","comment","chk_note","chk_fail","year"
"77","17/03/1972 08:55:00",1972-03-17,0,0,0,0,"","good","",1972
"78","18/03/1972 08:55:00",1972-03-18,0,0,0,0,"","good","",1972
"79","19/03/1972 08:55:00",1972-03-19,0,0,0,0,"","good","",1972
"80","20/03/1972 08:55:00",1972-03-20,0,0,0,0,"","good","",1972
"81","21/03/1972 08:55:00",1972-03-21,0,0,0,0,"","good","",1972
"82","22/03/1972 08:55:00",1972-03-22,0,0,0,0,"","good","",1972
"83","23/03/1972 08:55:00",1972-03-23,0,0,0,0,"","good","",1972
"84","24/03/1972 08:55:00",1972-03-24,0,0,0,0,"","good","",1972
"85","25/03/1972 08:55:00",1972-03-25,0,0,0,0,"","good","",1972
"86","26/03/1972 08:55:00",1972-03-26,0,0,0,0,"","good","",1972
"87","27/03/1972 08:55:00",1972-03-27,0,0,0,0,"","good","",1972
"88","28/03/1972 08:55:00",1972-03-28,0,0,0,0,"","good","",1972
"89","29/03/1972 08:55:00",1972-03-29,0,0,0,0,"","good","",1972
"90","30/03/1972 08:55:00",1972-03-30,0,0,0,0,"","good","",1972
"91","31/03/1972 08:55:00",1972-03-31,1.27,0,1.27,1.27,"","good","",1972
"92","1/4/72 8:55",1972-04-01,0.254,0,0.254,0.254,"","good","",1972
"93","2/4/72 8:55",1972-04-02,0,0,-999,0,"","adjusted","Prorated",1972
"94","3/4/72 8:55",1972-04-03,0,0,-999,0,"","adjusted","Prorated",1972
"95","4/4/72 8:55",1972-04-04,0,0,-999,0,"","adjusted","Prorated",1972
"96","5/4/72 8:55",1972-04-05,0,0,-999,0,"","adjusted","Prorated",1972
"97","6/4/72 8:55",1972-04-06,0,0,-999,0,"","adjusted","Prorated",1972
"98","7/4/72 8:55",1972-04-07,0,0,0,0,"","good","",1972
"99","8/4/72 8:55",1972-04-08,0,0,0,0,"","good","",1972
"100","9/4/72 8:55",1972-04-09,0,0,0,0,"","good","",1972
"101","10/4/72 8:55",1972-04-10,2.286,0,2.286,2.286,"","good","",1972
"102","11/4/72 8:55",1972-04-11,29.21,0,29.21,29.21,"","good","",1972
"103","12/4/72 8:55",1972-04-12,0.508,0,0.508,0.508,"","good","",1972
"104","13/04/1972 08:55:00",1972-04-13,0,0,0,0,"","good","",1972
"105","14/04/1972 08:55:00",1972-04-14,0,0,0,0,"","good","",1972
"106","15/04/1972 08:55:00",1972-04-15,0,0,0,0,"","good","",1972
"107","16/04/1972 08:55:00",1972-04-16,0,0,0,0,"","good","",1972
"108","17/04/1972 08:55:00",1972-04-17,0,0,0,0,"","good","",1972
"109","18/04/1972 08:55:00",1972-04-18,10.922,0,10.922,10.922,"","good","",1972
"110","19/04/1972 08:55:00",1972-04-19,9.144,0,9.144,9.144,"","good","",1972
"111","20/04/1972 08:55:00",1972-04-20,3.048,0,3.048,3.048,"","good","",1972
"112","21/04/1972 08:55:00",1972-04-21,27.94,0,27.94,27.94,"","good","",1972
"113","22/04/1972 08:55:00",1972-04-22,7.874,0,7.874,7.874,"","good","",1972
"114","23/04/1972 08:55:00",1972-04-23,7.366,0,7.366,7.366,"","good","",1972
"115","24/04/1972 08:55:00",1972-04-24,14.986,0,14.986,14.986,"","good","",1972
"116","25/04/1972 08:55:00",1972-04-25,6.858,0,6.858,6.858,"","good","",1972
"117","26/04/1972 08:55:00",1972-04-26,2.286,0,2.286,2.286,"","good","",1972
"118","27/04/1972 08:55:00",1972-04-27,0.508,0,0.508,0.508,"","good","",1972
"119","28/04/1972 08:55:00",1972-04-28,0,0,0,0,"","good","",1972
"120","29/04/1972 08:55:00",1972-04-29,3.302,0,3.302,3.302,"","good","",1972
"121","30/04/1972 08:55:00",1972-04-30,0.762,0,0.762,0.762,"","good","",1972
"122","1/5/72 8:55",1972-05-01,15.494,0,15.494,15.494,"","good","",1972
"123","2/5/72 8:55",1972-05-02,4.064,0,4.064,4.064,"","good","",1972
"124","3/5/72 8:55",1972-05-03,1.27,0,1.27,1.27,"","good","",1972
"125","4/5/72 8:55",1972-05-04,3.81,0,3.81,3.81,"","good","",1972
"126","5/5/72 8:55",1972-05-05,0.762,0,0.762,0.762,"","good","",1972
"127","6/5/72 8:55",1972-05-06,0.254,0,0.254,0.254,"","good","",1972
"128","7/5/72 8:55",1972-05-07,25.908,0,25.908,25.908,"","good","",1972
"129","8/5/72 8:55",1972-05-08,0.508,0,0.508,0.508,"","good","",1972
"130","9/5/72 8:55",1972-05-09,0.254,0,0.254,0.254,"","good","",1972
"131","10/5/72 8:55",1972-05-10,16.256,0,16.256,16.256,"","good","",1972
"132","11/5/72 8:55",1972-05-11,6.35,0,6.35,6.35,"","good","",1972
"133","12/5/72 8:55",1972-05-12,0.254,0,0.254,0.254,"","good","",1972
"134","13/05/1972 08:55:00",1972-05-13,0,0,0,0,"","good","",1972
"135","14/05/1972 08:55:00",1972-05-14,0,0,0,0,"","good","",1972
"136","15/05/1972 08:55:00",1972-05-15,43.18,0,43.18,43.18,"","good","",1972
"137","16/05/1972 08:55:00",1972-05-16,0,0,0,0,"","good","",1972
"138","17/05/1972 08:55:00",1972-05-17,0,0,0,0,"","good","",1972
"139","18/05/1972 08:55:00",1972-05-18,0,0,0,0,"","good","",1972
"140","19/05/1972 08:55:00",1972-05-19,0,0,0,0,"","good","",1972
"141","20/05/1972 08:55:00",1972-05-20,0,0,0,0,"","good","",1972
"142","21/05/1972 08:55:00",1972-05-21,27.432,0,27.432,27.432,"","good","",1972
"143","22/05/1972 08:55:00",1972-05-22,14.224,0,14.224,14.224,"","good","",1972
"144","23/05/1972 08:55:00",1972-05-23,0,0,0,0,"","good","",1972
"145","24/05/1972 08:55:00",1972-05-24,0,0,0,0,"","good","",1972
"146","25/05/1972 08:55:00",1972-05-25,0,0,0,0,"","good","",1972
"147","26/05/1972 08:55:00",1972-05-26,0,0,0,0,"","good","",1972
"148","27/05/1972 08:55:00",1972-05-27,7.112,0,7.112,7.112,"","good","",1972
"149","28/05/1972 08:55:00",1972-05-28,9.144,0,9.144,9.144,"","good","",1972
"150","29/05/1972 08:55:00",1972-05-29,44.45,0,44.45,44.45,"","good","",1972
"151","30/05/1972 08:55:00",1972-05-30,6.858,0,6.858,6.858,"","good","",1972
